addressCity,addressState,area,baths,beds,latitude,longitude,price
San Diego,CA,,,,32.869808,-117.223409,
San Diego,CA,576,1.0,1,32.746758,-117.087275,"$1,250/mo"
San Diego,CA,,,,32.71512,-117.169579,
San Diego,CA,,,,32.909165,-117.167542,
San Diego,CA,,,,32.909165,-117.167542,
San Diego,CA,700,1.0,2,32.724379,-117.12751,"$1,650/mo"
San Diego,CA,900,2.0,2,32.757651,-117.067975,"$2,100/mo"
La Jolla,CA,,,,32.865682,-117.235724,
San Diego,CA,,,,32.867604,-117.212148,
San Diego,CA,,,,32.712091,-117.151474,
San Diego,CA,1825,2.5,3,32.962234,-117.186255,"$3,800/mo"
San Diego,CA,,,,32.862945,-117.227936,
San Diego,CA,,,,32.716548,-117.156363,
San Diego,CA,,,,32.726703,-117.170351,
San Diego,CA,900,2.0,2,32.787987,-117.096343,"$1,750/mo"
La Jolla,CA,1870,2.0,2,32.847813,-117.262899,"$3,800/mo"
San Diego,CA,420,1.0,0,32.764467,-117.137561,"$1,330+/mo"
San Diego,CA,950,2.0,2,33.026248,-117.082221,"$2,100/mo"
San Diego,CA,,,,33.020859,-117.116481,
San Diego,CA,600,1.0,1,32.744146,-117.147688,"$1,600/mo"
San Diego,CA,,,,32.723132,-117.167842,
San Diego,CA,,1.0,0,32.68641,-117.104119,$995/mo
San Diego,CA,,,,32.719264,-117.15615,
San Diego,CA,,,,32.870752,-117.201927,
San Diego,CA,,,,32.827573,-117.136695,
San Diego,CA,,,,32.730863,-117.160739,
San Diego,CA,1100,2.0,3,32.763295,-117.13743,"$2,250/mo"
San Diego,CA,1130,2.0,3,32.805034,-117.142993,"$2,550/mo"
San Diego,CA,,,,32.70863,-117.158171,
San Diego,CA,1131,1.5,3,32.961714,-117.116257,"$2,450/mo"
San Diego,CA,,,,32.955461,-117.232517,
San Diego,CA,,,,32.713108,-117.170515,
San Diego,CA,1664,3.0,4,32.571295,-117.063571,"$2,600/mo"
San Diego,CA,895,2.0,2,32.782778,-117.251754,"$2,600/mo"
San Diego,CA,,,,32.785305,-117.131747,
San Diego,CA,1100,1.5,2,32.875494,-117.208231,"$2,200/mo"
San Diego,CA,432,1.0,0,32.766878,-117.180384,"$1,200/mo"
San Diego,CA,700,1.0,2,32.75698,-117.06612,"$1,650/mo"
San Diego,CA,1444,2.0,2,33.019117,-117.070496,"$2,500/mo"
San Diego,CA,,,,33.00164,-117.074799,
San Diego,CA,900,1.0,1,32.724012,-117.167286,"$2,395/mo"
San Diego,CA,,1.5,3,32.739818,-117.130218,"$3,200/mo"
San Diego,CA,800,2.0,2,32.75407,-117.08763,"$1,750/mo"
San Diego,CA,700,1.0,2,32.761158,-117.071636,"$1,495/mo"
San Diego,CA,700,1.0,2,32.761158,-117.071636,"$1,495/mo"
San Diego,CA,,,,32.722991,-117.167886,
San Diego,CA,900,2.0,2,32.754081,-117.104298,"$1,725/mo"
San Diego,CA,642,1.0,1,32.809175,-117.258197,"$2,500/mo"
San Diego,CA,854,2.0,1,32.813816,-117.085839,"$1,995/mo"
San Diego,CA,2026,2.5,3,32.98138,-117.069961,"$3,200/mo"
La Jolla,CA,1300,1.0,1,32.848588,-117.270858,"$5,000/mo"
San Diego,CA,1838,3.0,4,32.738086,-117.107931,"$2,900/mo"
San Diego,CA,1988,2.5,4,32.94336,-117.22689,"$3,950/mo"
San Diego,CA,451,1.0,1,32.745139,-117.148379,"$1,975/mo"
