,area in sqft,baths,beds,latitude,longitude,monthly price in $
400,1374.0,3.0,3.0,32.782176,-117.251769,11000.0
401,450.0,1.0,1.0,32.74935,-117.19503999999999,1450.0
402,950.0,1.0,2.0,32.756531,-117.118232,2525.0
403,500.0,1.0,0.0,32.750135,-117.17076000000002,952.0
404,1151.0,2.0,2.0,32.944007,-117.08975900000002,2895.0
405,688.0,1.0,1.0,33.003883,-117.08930500000001,1750.0
406,1197.0,1.5,3.0,32.861649,-117.21819599999999,2800.0
407,920.0,2.0,2.0,32.909,-117.1661,2095.0
408,1400.0,2.0,4.0,32.857962,-117.19191599999999,3700.0
409,3950.0,4.5,4.0,32.983146999999995,-117.221774,16000.0
410,920.0,2.0,2.0,32.917263,-117.14291899999999,2200.0
411,2013.0,3.0,4.0,32.797942,-117.22911599999999,5000.0
412,1016.0,1.0,1.0,32.866021,-117.234298,2190.0
413,887.0,1.0,1.0,32.944819,-117.23366999999999,1985.0
414,1848.0,2.5,4.0,32.920119,-117.077401,3200.0
415,600.0,1.0,1.0,32.74877,-117.15638999999999,1850.0
416,800.0,1.5,1.0,32.98227,-117.165343,1317.0
417,1150.0,2.0,3.0,32.753338,-117.132997,2850.0
418,1234.0,2.0,3.0,32.717684000000006,-117.122961,3850.0
419,1116.0,2.5,2.0,32.950333,-117.22934599999999,2700.0
420,1770.0,2.5,2.0,32.710783,-117.173796,6500.0
421,803.0,1.0,2.0,32.732278,-117.104849,2400.0
422,2639.0,4.0,5.0,32.94314,-117.144048,4300.0
423,1968.0,3.0,4.0,32.846806,-117.255353,7500.0
424,625.0,1.0,1.0,32.813516,-117.083541,1695.0
425,1350.0,2.0,3.0,32.86125,-117.21481999999999,2900.0
426,875.0,1.0,2.0,32.813553000000006,-117.08423700000002,2140.0
427,720.0,1.0,1.0,32.74972,-117.138446,1550.0
428,1200.0,2.0,3.0,32.835115,-117.19073,2990.0
429,1306.0,2.5,2.0,33.009698,-117.124128,2750.0
430,1708.0,2.0,3.0,32.999383,-117.064902,2950.0
431,1315.0,2.0,2.0,32.751106,-117.21588999999999,3095.0
432,600.0,1.0,1.0,32.797466,-117.232824,2095.0
